Trait,Species,Individuals,Deviation,Direction,Power,Directional_power,Mean_departure
Peak_Jump_Force_mN,4,10,0,Null,0.061,NA,0.0068
Peak_Jump_Force_mN,4,10,20,Negative,0.669,0.669,-0.1943
Peak_Jump_Force_mN,4,10,20,Positive,0.428,0.428,0.208
Peak_Jump_Force_mN,4,10,50,Negative,1,1,-0.4942
Peak_Jump_Force_mN,4,10,50,Positive,0.931,0.931,0.5152
Peak_Jump_Force_mN,4,10,80,Negative,1,1,-0.7986
Peak_Jump_Force_mN,4,10,80,Positive,0.998,0.998,0.8193
Peak_Jump_Force_mN,5,5,0,Null,0.044,NA,0.0155
Peak_Jump_Force_mN,5,5,20,Negative,0.576,0.576,-0.1863
Peak_Jump_Force_mN,5,5,20,Positive,0.346,0.346,0.2186
Peak_Jump_Force_mN,5,5,50,Negative,1,1,-0.4939
Peak_Jump_Force_mN,5,5,50,Positive,0.92,0.92,0.5248
Peak_Jump_Force_mN,5,5,80,Negative,1,1,-0.7971
Peak_Jump_Force_mN,5,5,80,Positive,0.99,0.99,0.8307
Peak_Jump_Force_mN,5,8,0,Null,0.048,NA,0.0142
Peak_Jump_Force_mN,5,8,20,Negative,0.723,0.723,-0.1896
Peak_Jump_Force_mN,5,8,20,Positive,0.504,0.504,0.2126
Peak_Jump_Force_mN,5,8,50,Negative,1,1,-0.4932
Peak_Jump_Force_mN,5,8,50,Positive,0.983,0.983,0.5215
Peak_Jump_Force_mN,5,8,80,Negative,1,1,-0.7973
Peak_Jump_Force_mN,5,8,80,Positive,1,1,0.8166
Peak_Jump_Force_mN,5,10,0,Null,0.053,NA,0.0063
Peak_Jump_Force_mN,5,10,20,Negative,0.839,0.839,-0.1953
Peak_Jump_Force_mN,5,10,20,Positive,0.612,0.612,0.21
Peak_Jump_Force_mN,5,10,50,Negative,1,1,-0.4961
Peak_Jump_Force_mN,5,10,50,Positive,0.995,0.995,0.5106
Peak_Jump_Force_mN,5,10,80,Negative,1,1,-0.798
Peak_Jump_Force_mN,5,10,80,Positive,1,1,0.8134
Peak_Jump_Force_mN,6,5,0,Null,0.055,NA,0.0169
Peak_Jump_Force_mN,6,5,20,Negative,0.649,0.649,-0.1849
Peak_Jump_Force_mN,6,5,20,Positive,0.458,0.458,0.2173
Peak_Jump_Force_mN,6,5,50,Negative,1,1,-0.489
Peak_Jump_Force_mN,6,5,50,Positive,0.984,0.984,0.5245
Peak_Jump_Force_mN,6,5,80,Negative,1,1,-0.7966
Peak_Jump_Force_mN,6,5,80,Positive,0.999,0.999,0.8243
Peak_Jump_Force_mN,6,8,0,Null,0.055,NA,0.0099
Peak_Jump_Force_mN,6,8,20,Negative,0.831,0.831,-0.1895
Peak_Jump_Force_mN,6,8,20,Positive,0.646,0.646,0.2084
Peak_Jump_Force_mN,6,8,50,Negative,1,1,-0.4936
Peak_Jump_Force_mN,6,8,50,Positive,1,1,0.5121
